identifier,term_nr,term,statistic,value,method,notes
sleep_t_test,,,mean in group 1,0.75, Two Sample t-test,two.sided test
sleep_t_test,,,mean in group 2,2.33, Two Sample t-test,two.sided test
sleep_t_test,,,t,-1.860813, Two Sample t-test,two.sided test
sleep_t_test,,,df,18, Two Sample t-test,two.sided test
sleep_t_test,,,p,0.07918671, Two Sample t-test,two.sided test
sleep_t_test,,,95% CI lower,-3.363874, Two Sample t-test,two.sided test
sleep_t_test,,,95% CI upper,0.203874, Two Sample t-test,two.sided test
sleep_t_test,,,null value,0, Two Sample t-test,two.sided test
sleep_correlation,,,cor,0.4016626,Pearson's product-moment correlation,two.sided test
sleep_correlation,,,t,1.860813,Pearson's product-moment correlation,two.sided test
sleep_correlation,,,df,18,Pearson's product-moment correlation,two.sided test
sleep_correlation,,,p,0.07918671,Pearson's product-moment correlation,two.sided test
sleep_correlation,,,95% CI lower,-0.04969034,Pearson's product-moment correlation,two.sided test
sleep_correlation,,,95% CI upper,0.71678,Pearson's product-moment correlation,two.sided test
sleep_correlation,,,null value,0,Pearson's product-moment correlation,two.sided test
sleep_anova,1,group,df,1,One-way ANOVA,
sleep_anova,1,group,SS,12.482,One-way ANOVA,
sleep_anova,1,group,MS,12.482,One-way ANOVA,
sleep_anova,1,group,F,3.462627,One-way ANOVA,
sleep_anova,1,group,p,0.07918671,One-way ANOVA,
sleep_anova,2,Residuals,df,18,One-way ANOVA,
sleep_anova,2,Residuals,SS,64.886,One-way ANOVA,
sleep_anova,2,Residuals,MS,3.604778,One-way ANOVA,
sleep_regression,1,(Intercept),b,0.75,Linear regression,
sleep_regression,1,(Intercept),SE,0.600398,Linear regression,
sleep_regression,1,(Intercept),t,1.249171,Linear regression,
sleep_regression,1,(Intercept),p,0.2276036,Linear regression,
sleep_regression,1,(Intercept),df,18,Linear regression,
sleep_regression,2,group2,b,1.58,Linear regression,
sleep_regression,2,group2,SE,0.849091,Linear regression,
sleep_regression,2,group2,t,1.860813,Linear regression,
sleep_regression,2,group2,p,0.07918671,Linear regression,
sleep_regression,2,group2,df,18,Linear regression,
sleep_regression,3,(Model),R squared,0.1613329,Linear regression,
sleep_regression,3,(Model),adjusted R squared,0.1147402,Linear regression,
sleep_regression,3,(Model),F,3.462627,Linear regression,
sleep_regression,3,(Model),numerator df,1,Linear regression,
sleep_regression,3,(Model),denominator df,18,Linear regression,
sleep_regression,3,(Model),p,0.07918671,Linear regression,
